,precision,recall,f1-score,support
Apple__Healthy,0.9636363636363636,0.9840848806366048,0.973753280839895,377.0
Apple__Rotten,0.9782082324455206,0.9373549883990719,0.957345971563981,431.0
Banana__Healthy,0.9777777777777777,0.9935483870967742,0.9856,310.0
Banana__Rotten,0.9877750611246944,0.9926289926289926,0.9901960784313726,407.0
Bellpepper__Healthy,0.8468468468468469,0.9690721649484536,0.9038461538461539,97.0
Bellpepper__Rotten,0.8979591836734694,0.4536082474226804,0.6027397260273972,97.0
Carrot__Healthy,0.8777777777777778,0.9404761904761905,0.9080459770114943,84.0
Carrot__Rotten,0.7662337662337663,0.7866666666666666,0.7763157894736842,75.0
Cucumber__Healthy,1.0,0.8958333333333334,0.945054945054945,96.0
Cucumber__Rotten,0.9777777777777777,0.946236559139785,0.9617486338797814,93.0
Grape__Healthy,0.8292682926829268,0.9714285714285714,0.8947368421052632,35.0
Grape__Rotten,0.96,0.7741935483870968,0.8571428571428571,31.0
Guava__Healthy,0.9444444444444444,1.0,0.9714285714285714,34.0
Guava__Rotten,1.0,0.8709677419354839,0.9310344827586207,31.0
Jujube__Healthy,0.9090909090909091,0.967741935483871,0.9375,31.0
Jujube__Rotten,1.0,0.8666666666666667,0.9285714285714286,30.0
Mango__Healthy,0.96415770609319,0.9817518248175182,0.972875226039783,274.0
Mango__Rotten,0.9649122807017544,0.9705882352941176,0.967741935483871,340.0
Orange__Healthy,0.987012987012987,0.9934640522875817,0.990228013029316,306.0
Orange__Rotten,0.9857549857549858,0.9885714285714285,0.9871611982881597,350.0
Pomegranate__Healthy,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
Pomegranate__Rotten,0.8048780487804879,0.9705882352941176,0.88,34.0
Potato__Healthy,0.87,0.9666666666666667,0.9157894736842105,90.0
Potato__Rotten,0.8082191780821918,0.7972972972972973,0.8027210884353742,74.0
Strawberry__Healthy,0.9702127659574468,1.0,0.9848812095032398,228.0
Strawberry__Rotten,0.966804979253112,0.9510204081632653,0.9588477366255144,245.0
Tomato__Healthy,0.8426966292134831,0.9615384615384616,0.8982035928143712,78.0
Tomato__Rotten,0.8837209302325582,0.95,0.9156626506024096,80.0
accuracy,0.9528795811518325,0.9528795811518325,0.9528795811518325,0.9528795811518325
macro avg,0.926306982000823,0.9233365734289025,0.9203786226453667,4393.0
weighted avg,0.9539629735335367,0.9528795811518325,0.951152483094171,4393.0
